rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
76,2017,1,6,211.0,2020,23,93.0,5806440.0,22,2
76,2017,1,4,202.99999999999997,2020,23,92.1,7059480.0,15,2
76,2015,1,9,213.0,2020,27,104.8,4767000.0,24,3
76,2012,1,2,198.0,2020,27,105.2,12784359.0,6,2
76,2018,1,9,200.99999999999997,2020,21,97.5,4380120.0,20,2
76,2012,1,11,213.0,2020,28,111.1,11286515.0,16,0
76,2009,0,0,193.0,2020,34,99.8,2564753.0,17,5
76,2015,1,7,191.0,2020,24,86.2,1737145.0,29,5
76,2015,1,3,208.0,2020,25,122.5,1702486.0,19,0
76,2014,1,10,191.0,2020,26,83.9,8000000.0,20,5
76,2018,1,14,208.0,2020,22,97.5,3389400.0,7,2
76,2012,1,10,191.0,2020,28,90.7,2174310.0,11,5
76,2013,1,26,200.99999999999997,2020,29,93.4,10740740.0,21,6
76,2006,1,21,185.0,2020,34,84.4,2564753.0,14,5
76,2018,1,26,193.0,2020,23,81.6,1995120.0,13,5
76,2013,0,0,202.99999999999997,2020,28,97.5,5000000.0,1,0
76,2011,2,60,175.0,2020,31,83.9,2320044.0,9,5
76,2012,1,4,191.0,2020,29,95.3,12475385.0,14,5
76,2005,1,2,202.99999999999997,2020,34,108.9,14654179.0,17,2
76,2015,1,20,196.0,2020,28,82.1,9473684.0,6,5
76,2019,1,7,193.0,2020,120,83.9,5307120.0,4,5
75,2001,1,3,216.0,2020,40,113.4,5538540.0,9,0
75,2009,0,0,208.0,2020,34,117.9,5453280.0,24,0
75,2012,0,0,193.0,2020,31,88.5,19269663.0,26,5
75,2007,1,18,196.0,2020,34,90.7,5846154.0,27,5
75,2011,1,7,202.99999999999997,2020,28,103.9,17000000.0,3,0
75,2018,1,10,198.0,2020,24,94.8,4161000.0,24,4
75,2007,1,23,202.99999999999997,2020,33,102.1,2564753.0,2,4
75,2017,2,44,196.0,2020,26,91.6,1618520.0,20,5
75,2016,1,5,191.0,2020,26,93.0,5348007.0,4,5
75,2009,1,28,193.0,2020,33,90.7,8000000.0,20,5
75,2016,0,0,188.0,2020,27,84.8,2875000.0,27,5
75,2017,1,30,196.0,2020,25,92.5,1934160.0,19,5
75,2012,1,14,206.0,2020,30,99.8,9732396.0,8,2
75,2015,1,5,202.99999999999997,2020,25,91.2,1737145.0,25,4
75,2008,1,26,191.0,2020,34,81.6,10133907.0,17,5
75,2015,1,23,198.0,2020,25,95.7,2500000.0,28,2
75,2015,2,37,208.0,2020,27,110.2,4767000.0,26,2
75,2009,1,16,200.99999999999997,2020,33,111.1,15349400.0,18,2
75,2017,1,12,196.0,2020,24,88.9,3827160.0,8,5
75,2003,2,51,200.99999999999997,2020,39,96.2,6004753.0,17,2
75,2018,2,40,206.0,2020,22,97.5,1699236.0,2,2
75,2016,2,47,202.99999999999997,2020,26,94.8,3581986.0,18,2
75,2008,1,15,213.0,2020,32,115.7,4767000.0,17,0
75,2015,1,12,206.0,2020,25,109.3,5500000.0,27,2
75,2010,0,0,224.00000000000003,2020,32,131.5,3500000.0,6,0
75,2015,0,0,185.0,2020,28,90.7,3500000.0,12,5
75,2009,2,55,185.0,2020,32,83.9,12678571.0,27,5
